,subject,iq,LL,model_type
0,0,128.0,-99.18409367510482,0
1,0,128.0,-94.1196517944336,1
2,1,124.0,-68.00633137494181,0
3,1,124.0,-47.21227010091146,1
4,2,122.0,-38.21949036595075,0
5,2,122.0,-44.7648671468099,1
6,3,123.0,-69.37545584621758,0
7,3,123.0,-67.68785730997722,1
8,4,122.0,-57.23408996188289,0
9,4,122.0,-45.008544921875,1
10,5,116.0,-49.37825516535681,0
11,5,116.0,-58.228739420572914,1
12,6,124.0,-92.63067099999944,0
13,6,124.0,-84.14917500813802,1
14,7,107.0,-57.48797816125218,0
15,7,107.0,-69.34546407063802,1
16,8,92.0,-96.89355093978567,0
17,8,92.0,-103.14549001057942,1
18,9,110.0,-77.194852378816,0
19,9,110.0,-88.70774586995442,1
20,10,119.0,-59.700544124421214,0
21,10,119.0,-63.50204340616862,1
22,11,115.0,-77.5606149629133,0
23,11,115.0,-88.51662953694661,1
24,12,125.0,-97.27028344103003,0
25,12,125.0,-100.80665588378906,1
26,13,97.0,-101.66562383879365,0
27,13,97.0,-100.83266957600911,1
28,14,132.0,-27.168546637129086,0
29,14,132.0,-73.68295542399089,1
30,15,105.0,-105.08018186197474,0
31,15,105.0,-103.66312662760417,1
32,16,118.0,-102.9210006154287,0
33,16,118.0,-104.29817199707031,1
34,17,111.0,-105.63381190363589,0
35,17,111.0,-106.09140014648438,1
36,18,117.0,-104.0784070475994,0
37,18,117.0,-105.63578796386719,1
38,19,116.0,-89.206439907984,0
39,19,116.0,-83.69847615559895,1
40,20,104.0,-99.09651817515343,0
41,20,104.0,-104.54798126220703,1
42,21,95.0,-106.74943904102649,0
43,21,95.0,-104.68760681152344,1
44,22,103.0,-67.96845670582293,0
45,22,103.0,-74.3888053894043,1
46,23,128.0,-37.94889494067086,0
47,23,128.0,-71.97458140055339,1
48,24,104.0,-62.07153354457711,0
49,24,104.0,-62.304805755615234,1
50,25,124.0,-78.30274257924431,0
51,25,124.0,-84.41216532389323,1
52,26,120.0,-93.64541628102404,0
53,26,120.0,-88.36889902750652,1
54,27,107.0,-95.22227232878215,0
55,27,107.0,-95.6077143351237,1
56,28,123.0,-61.55946833169455,0
57,28,123.0,-75.12940216064453,1
58,29,84.0,-101.78781080080184,0
59,29,84.0,-102.28861236572266,1
60,30,131.0,-104.34561672708425,0
61,30,131.0,-96.24934387207031,1
62,31,99.0,-63.4324733603529,0
63,31,99.0,-94.88052622477214,1
64,32,121.0,-101.14302089951879,0
65,32,121.0,-100.16045888264973,1
66,33,104.0,-24.787955572532937,0
67,33,104.0,-92.69576454162598,1
68,34,104.0,-70.85104674851924,0
69,34,104.0,-73.36320877075195,1
70,35,125.0,-76.79572501319278,0
71,35,125.0,-86.42947642008464,1
72,36,109.0,-112.1223613421465,0
73,36,109.0,-103.40499877929688,1
74,37,110.0,-91.78661305199272,0
75,37,110.0,-104.66007995605469,1
76,38,117.0,-102.99578735591778,0
77,38,117.0,-100.9738032023112,1
78,39,106.0,-84.064181820672,0
79,39,106.0,-86.09225972493489,1
80,40,100.0,-94.95861661283766,0
81,40,100.0,-90.05952072143555,1
82,41,128.0,-41.25435905776147,0
83,41,128.0,-48.53234672546387,1
84,42,109.0,-101.92331709492566,0
85,42,109.0,-104.04609680175781,1
86,43,109.0,-51.06190025928556,0
87,43,109.0,-52.774557749430336,1
88,44,116.0,-100.77912160848426,0
89,44,116.0,-98.87913767496745,1
90,45,122.0,-61.173690663495016,0
91,45,122.0,-57.65554173787435,1
92,46,111.0,-81.46680733491159,0
93,46,111.0,-89.81021881103516,1
94,47,100.0,-101.10757113651736,0
95,47,100.0,-97.95348866780598,1
96,48,103.0,-105.0731460841434,0
97,48,103.0,-110.3443374633789,1
98,49,100.0,-95.69979484682209,0
99,49,100.0,-122.7144063313802,1
100,50,100.0,-47.32774470530151,0
101,50,100.0,-43.930398305257164,1
102,51,106.0,-100.77619635681428,0
103,51,106.0,-104.8249994913737,1
104,52,111.0,-49.182304887145754,0
105,52,111.0,-78.46267191569011,1
106,53,109.0,-99.23978865435777,0
107,53,109.0,-103.04295603434245,1
