agent,IQ,OE
0,128.0,210.66666666666666
1,124.0,397.6666666666667
2,122.0,651.6666666666666
3,123.0,510.3333333333333
4,122.0,617.3333333333334
5,116.0,426.0
6,124.0,237.33333333333334
7,107.0,474.6666666666667
8,92.0,19.0
9,110.0,459.3333333333333
10,119.0,582.6666666666666
11,115.0,358.0
12,125.0,118.0
13,97.0,74.33333333333333
14,132.0,626.6666666666666
15,105.0,54.0
16,118.0,179.66666666666666
17,111.0,85.66666666666667
18,117.0,131.66666666666666
19,116.0,140.66666666666666
20,104.0,155.33333333333334
21,95.0,105.66666666666667
22,103.0,545.6666666666666
23,128.0,389.6666666666667
24,104.0,523.3333333333334
25,124.0,238.0
26,120.0,411.3333333333333
27,107.0,85.66666666666667
28,123.0,319.6666666666667
29,84.0,134.33333333333334
30,131.0,169.33333333333334
31,99.0,70.66666666666667
32,121.0,140.0
33,104.0,105.0
34,104.0,327.0
35,125.0,455.3333333333333
36,109.0,53.666666666666664
37,110.0,232.33333333333334
38,117.0,155.0
39,106.0,323.0
40,100.0,377.0
41,128.0,514.6666666666666
42,109.0,145.0
43,109.0,539.6666666666666
44,116.0,106.66666666666667
45,122.0,276.0
46,111.0,362.6666666666667
47,100.0,142.33333333333334
48,103.0,76.33333333333333
49,100.0,0.0
50,100.0,745.3333333333334
51,106.0,127.66666666666667
52,111.0,506.3333333333333
53,109.0,14.666666666666666
